COLIGADA,DESC_COLIGADA,MOVIMENTO,N_MOV,FORNECEDOR,DATA_EMISSAO,DATA_ENTRADA,DATA_BAIXA,DATA_VENCIMENTO,CENTRO_CUSTO,DESC_CENTRO_CSTO,VALOR,OBSERVAÇÕES_MOV,VALOR_BRUTO,VALOR_LIQUIDO,VALOR_DOC,VALOR_ORIGINAL,VALOR_BAIXADO,
1,BIOPLUS LTDA,1.2.02,000018676,PATRIMONIO TECNOLOGIA LTDA,02/05/2024,02/05/2024,5/10/24 0:00,5/10/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000018696,PATRIMONIO TECNOLOGIA LTDA,03/05/2024,03/05/2024,5/10/24 0:00,5/10/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000018702,PATRIMONIO TECNOLOGIA LTDA,02/05/2024,02/05/2024,5/10/24 0:00,5/10/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000018763,PATRIMONIO TECNOLOGIA LTDA,07/06/2024,07/06/2024,6/12/24 0:00,6/10/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.855,21","R$12,28"
1,BIOPLUS LTDA,1.2.02,000018779,PATRIMONIO TECNOLOGIA LTDA,07/06/2024,07/06/2024,6/12/24 0:00,6/10/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$315,06",
1,BIOPLUS LTDA,1.2.02,000018781,PATRIMONIO TECNOLOGIA LTDA,07/06/2024,07/06/2024,6/12/24 0:00,6/10/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$309,09",
1,BIOPLUS LTDA,1.2.02,000019030,PATRIMONIO TECNOLOGIA LTDA,08/07/2024,08/07/2024,7/11/24 0:00,7/10/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.849,07","R$6,14"
1,BIOPLUS LTDA,1.2.02,000019034,PATRIMONIO TECNOLOGIA LTDA,08/07/2024,08/07/2024,7/11/24 0:00,7/10/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$308,07",
1,BIOPLUS LTDA,1.2.02,000019044,PATRIMONIO TECNOLOGIA LTDA,08/07/2024,08/07/2024,7/11/24 0:00,7/10/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$314,02",
1,BIOPLUS LTDA,1.2.02,000019445,PATRIMONIO TECNOLOGIA LTDA,19/07/2024,05/08/2024,8/12/24 0:00,8/12/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000019458,PATRIMONIO TECNOLOGIA LTDA,19/07/2024,02/08/2024,8/12/24 0:00,8/12/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000019461,PATRIMONIO TECNOLOGIA LTDA,19/07/2024,06/08/2024,8/12/24 0:00,8/12/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000019677,PATRIMONIO TECNOLOGIA LTDA,21/08/2024,09/09/2024,9/12/24 0:00,9/12/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$309,09",
1,BIOPLUS LTDA,1.2.02,000019702,PATRIMONIO TECNOLOGIA LTDA,21/08/2024,09/09/2024,9/12/24 0:00,9/12/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.855,21","R$12,28"
1,BIOPLUS LTDA,1.2.02,000019714,PATRIMONIO TECNOLOGIA LTDA,21/08/2024,09/09/2024,9/12/24 0:00,9/12/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$315,06",
1,BIOPLUS LTDA,1.2.02,000019862,PATRIMONIO TECNOLOGIA LTDA,20/09/2024,08/10/2024,10/10/24 0:00,10/10/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000019954,PATRIMONIO TECNOLOGIA LTDA,20/09/2024,08/10/2024,10/10/24 0:00,10/10/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000019955,PATRIMONIO TECNOLOGIA LTDA,20/09/2024,08/10/2024,10/10/24 0:00,10/10/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000020121,PATRIMONIO TECNOLOGIA LTDA,21/10/2024,05/11/2024,11/11/24 0:00,11/11/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000020221,PATRIMONIO TECNOLOGIA LTDA,21/10/2024,05/11/2024,11/11/24 0:00,11/11/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000020223,PATRIMONIO TECNOLOGIA LTDA,21/10/2024,05/11/2024,11/11/24 0:00,11/11/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000020371,PATRIMONIO TECNOLOGIA LTDA,25/11/2024,09/12/2024,12/13/24 0:00,12/13/24 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.861,35","R$18,42"
1,BIOPLUS LTDA,1.2.02,000020380,PATRIMONIO TECNOLOGIA LTDA,25/11/2024,09/12/2024,12/12/24 0:00,12/12/24 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$309,09",
1,BIOPLUS LTDA,1.2.02,000020468,PATRIMONIO TECNOLOGIA LTDA,25/11/2024,09/12/2024,12/12/24 0:00,12/12/24 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$315,06",
1,BIOPLUS LTDA,1.2.02,000020707,PATRIMONIO TECNOLOGIA LTDA,19/12/2024,26/12/2024,1/10/25 0:00,1/10/25 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000020713,PATRIMONIO TECNOLOGIA LTDA,19/12/2024,26/12/2024,1/10/25 0:00,1/10/25 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000020714,PATRIMONIO TECNOLOGIA LTDA,19/12/2024,26/12/2024,1/10/25 0:00,1/10/25 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000020864,PATRIMONIO TECNOLOGIA LTDA,23/01/2025,10/02/2025,2/17/25 0:00,2/13/25 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$320,26",
1,BIOPLUS LTDA,1.2.02,000020865,PATRIMONIO TECNOLOGIA LTDA,23/01/2025,10/02/2025,2/17/25 0:00,2/13/25 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$314,19",
1,BIOPLUS LTDA,1.2.02,000020961,PATRIMONIO TECNOLOGIA LTDA,23/01/2025,10/02/2025,2/17/25 0:00,2/13/25 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.885,91","R$42,98"
1,BIOPLUS LTDA,1.2.02,000020973,PATRIMONIO TECNOLOGIA LTDA,05/02/2025,12/02/2025,2/28/25 0:00,2/28/25 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,"2074,2",SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.074,20","R$1.842,93","R$2.074,20","R$2.074,20","R$1.842,93","R$0,00"
1,BIOPLUS LTDA,1.2.02,000020986,PATRIMONIO TECNOLOGIA LTDA,05/02/2025,12/02/2025,2/28/25 0:00,2/28/25 0:00,02.01.01.003,CME ACRE,"328,24",CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$328,24","R$312,98","R$328,24","R$328,24","R$312,98",
1,BIOPLUS LTDA,1.2.02,000020991,PATRIMONIO TECNOLOGIA LTDA,05/02/2025,14/02/2025,2/28/25 0:00,2/28/25 0:00,02.01.01.002,CME PALMAS,"322,02",SISTEMA ATIVO,"R$322,02","R$307,05","R$322,02","R$322,02","R$307,05",
1,BIOPLUS LTDA,1.2.02,000021210,PATRIMONIO TECNOLOGIA LTDA,06/03/2025,14/03/2025,3/31/25 0:00,3/31/25 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,2210,SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.210,00","R$1.963,58","R$2.210,00","R$2.210,00","R$1.963,58","R$0,00"
1,BIOPLUS LTDA,1.2.02,000021226,PATRIMONIO TECNOLOGIA LTDA,06/03/2025,14/03/2025,3/31/25 0:00,3/31/25 0:00,02.01.01.002,CME PALMAS,343,SISTEMA ATIVO,"R$343,00","R$327,05","R$343,00","R$343,00","R$327,05",
1,BIOPLUS LTDA,1.2.02,000021231,PATRIMONIO TECNOLOGIA LTDA,06/03/2025,14/03/2025,3/31/25 0:00,3/31/25 0:00,02.01.01.003,CME ACRE,350,CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$350,00","R$333,72","R$350,00","R$350,00","R$333,72",
1,BIOPLUS LTDA,1.2.02,000021498,PATRIMONIO TECNOLOGIA LTDA,07/04/2025,09/04/2025,4/30/25 0:00,4/30/25 0:00,01.02.06.000,DIRETOR DE OPERAÇÕES ,2210,SUPORTE TÉCNICO AO SISTEMA ATIVO ,"R$2.210,00","R$1.963,58","R$2.210,00","R$2.210,00","R$1.963,58","R$0,00"
1,BIOPLUS LTDA,1.2.02,000021515,PATRIMONIO TECNOLOGIA LTDA,07/04/2025,09/04/2025,4/30/25 0:00,4/30/25 0:00,02.01.01.003,CME ACRE,350,CONTRATO SISTEMA ATIVO P/ PERIODO INDETERMINADO.,"R$350,00","R$333,72","R$350,00","R$350,00","R$333,72",
1,BIOPLUS LTDA,1.2.02,000021518,PATRIMONIO TECNOLOGIA LTDA,07/04/2025,09/04/2025,4/30/25 0:00,4/30/25 0:00,02.01.01.002,CME PALMAS,343,SISTEMA ATIVO,"R$343,00","R$327,05","R$343,00","R$343,00","R$327,05",
